Strain, Name,Species,Lab,Fermentation_Temp_Range_LOW,Fermentation_Temp_Range_HIGH,Apparant_Attenuation_Range_LOW,Apparant_Attenuation_Range_HIGH,  Flocculation, Alcohol_Tolerance, Notes, Best Styles,Substitutions
WY2105-PC,Rocky Mountain Lager,Lager,Wyeast,48,56,70,74,Medium-High,9,"Perfect for that Banquet Style beer, this lager strain, born high in the Colorado Rockies, ferments well at cooler temperatures with an emphasis on the malt finish. Will work well for all North American lagers, light pilsners and adjunct beers. Mild malty profile, medium ester profile, well balanced. Brewery source: Coors","American Lager, American Light Lager, International Pale Ale, German Pils, Pre-Prohibition Lagers",
WY2112,California Lager,Lager,Wyeast,58,68,67,71,High,9,"This strain is particularly well suited for producing 19th century-style West Coast beers with woody/minty hop flavor. Produces malty, brilliantly clear beers. It retains lager characteristics at temperatures up to 65°F (18°C). This strain is not recommended for cold temperature fermentation. Brewery source: Anchor brewing","Baltic Porter, California Common Beer, Christmas/Winter Specialty Spiced Beer, Cream Ale, Other Smoked Beer, Premium American Lager, Spice, Herb, or Vegetable Beer",WLP810
WY2124,Bohemian Lager,Lager,Wyeast,45,68,73,77,Medium-Low,9,"This Carlsberg type yeast is the most widely used lager strain in the world. This strain produces a distinct malty profile with some ester character and a crisp finish.  A versatile strain, that is great to use with lagers or Pilsners for fermentations in the 45-55°F (8-12°C) range. It may also be used for Common beer production with fermentations at 65-68°F (18-20°C). A thorough diacetyl rest is recommended after fermentation is complete. Brewery source: Weihenstephan 34/70","Baltic Porter, Bière de Garde, Bohemian Pilsner, Classic American Pilsner, Dark American Lager, Doppelbock, Dortmunder Export, Eisbock, German Pilsner (Pils), Maibock/Helles Bock, Munich Dunkel, Munich Helles, Oktoberfest/Märzen, Schwarzbier (Black Beer), Traditional Bock, Vienna Lager","WLP830, W34/70"
WY2206,Bavarian Lager,Lager,Wyeast,46,58,73,77,Medium-High,9,"Used by many German breweries to produce rich, full-bodied, malty beers, this strain is a good choice for bocks and dopplebocks.A thorough diacetyl rest is recommended after fermentation is complete. Brewery source: Weihenstephan 206","Classic Rauchbier, Doppelbock, Eisbock, Maibock/Helles Bock, Munich Dunkel, Oktoberfest/Märzen, Schwarzbier (Black Beer), Traditional Bock",WLP820
WY2247-PC,European Lager,Lager,Wyeast,46,56,73,77,Low,10,This strain exhibits a very clean and dry flavor profile often found in aggressively hopped lagers. Produces mild aromatics and slight sulfur notes typical of classic pilsners. This yeast is a good attenuator resulting in beers with a distinctively crisp finish.,"German Pils, Czech Premium Pale Lager, Pre-Prohibition Lager, Munich Helles, German Helles Exportbier",
WY2252,Rasenmäher Lager,Lager,Wyeast,48,68,73,77,Low,9,"This versatile lager strain is an excellent choice for brewing your favorite low alcohol lawnmower beer. Fermentations at low temperatures will produce clean lagers that accentuate the malt character of the beer. At high temperatures this strain maintains much of the lager character, but will also yield a mild ester profile that compliments hop aromas and flavors.",,
WY2272-PC,PC North American Lager,Lager,Wyeast,52,58,70,76,High,9,"Traditional culture of North American and Canadian lagers, light pilsners and adjunct beers. Mildly malty profile, medium ester profile, well balanced. Malty finish. Brewery source: Christian Schmidt (Philadelphia brewery)","California Common Beer, Classic American Pilsner, Premium American Lager, Standard American Lager",
WY2278,Czech Pils,Lager,Wyeast,50,58,70,74,Medium-High,9,"Originating from the home of great Pilsners in the Czech Republic, this classic Pilsner strain will finish dry and malty. It is the perfect choice for Pilsners and all malt beers. Sulfur produced during fermentation can be reduced with warmer fermentation temperatures 58°F (14°C) and will dissipate with conditioning. Brewery source: Pilsner Urquell-D",Bohemian Pilsner,
WY2308,Munich Lager,Lager,Wyeast,48,56,70,74,Medium,9,"This is a unique strain, capable of producing fine lagers. It is very smooth, well-rounded and full-bodied. A thorough diacetyl rest is recommended after fermentation is complete. Brewery source:Wisenschaftliche Station #308 (Munich)","Classic Rauchbier, Doppelbock, Eisbock, Maibock/Helles Bock, Munich Dunkel, Oktoberfest/Märzen, Traditional Bock, Vienna Lager",WLP838
WY2352-PC,PC Munich Lager II,Lager,Wyeast,52,62,72,74,Medium,10,"From a famous brewery in Munich, this strain is a low diacetyl and low sulfur aroma producer. An excellent choice for malt driven lagers.","Lager, Oktoberfest/Märzen, Munich Dunkel, Schwarzbier, Traditional Bock, Maibock/Hellesbock, Dopplebock, Eisbock",
WY2487-PC,PC Hella Bock,Lager,Wyeast,48,56,70,74,Medium,12,"Direct from the Austrian Alps, this strain will produce rich, full-bodied and malty beers with a complex flavor profile and a great mouth feel. Attenuates well while still leaving plenty of malt character and body.  Beers fermented with this strain will benefit from a temperature rise for a diacetyl rest at the end of primary fermentation. Brewery source: Ayinger","Lager, Oktoberfest/Marzen, Munich Dunkel, Schwarzbier, Traditional Bock, Maibock/Hellesbock, Dopplebock, Eisbock ",WLP833
WY2633,Octoberfest Lager Blend,Lager,Wyeast,48,58,73,77,Medium-Low,9,"This blend of lager strains is designed to produce a rich, malty, complex and full bodied Octoberfest style beer. It attenuates well while leaving plenty of malt character and mouthfeel. This strain is low in sulfur production. ","Baltic Porter, Classic Rauchbier, Oktoberfest/Märzen, Vienna Lager",
WY2782-PC,PC Staro Prague Lager,Lager,Wyeast,50,58,70,74,Medium,11,This yeast will help create medium to full body lagers with moderate fruit and bready malt flavors. The balance is slightly toward malt sweetness and will benefit from additional hop bittering. A fantastic strain for producing classic Bohemian lagers. Brewery source: via Paddock Wood in Canada,"Bohemian Pilsner, Munich Helles, Vienna Lager, Oktoberfest/Märzen, Munich Dunkel, Schwarzbier, Traditional Bock, Maibock/Hellesbock, Dopplebock, Eisbock ",
,Hessian Pils,Lager,The Yeast Bay,45,48,73,76,Medium-Low,,"Hessian Pils is a single strain of Saccharomyces pastorianus that hails from the Hess region of Germany. It exhibits everything you want in a great Pilsner yeast: it's a clean fermenter with relatively low ester formation, exhibits a short lag time, ferments wort quickly and attenuates well, even at the low end of the temperature range. These characteristics allow the malt and hop profile to really shine, and creates a crisp finished beer. We recommend a brief diacetyl rest at ~ 60-65 ºF (2-3 days) at the end of primary fermentation. An extended lagering phase at 33-35 ºF will encourage the yeast to settle and create a clean profile.",German Pilsners,
,Fanconian Dark Lager,Lager,The Yeast Bay,48,51,74,78,Medium-Low,,"Franconian Dark Lager is a single strain of Saccharomyces pastorianus that hails from the Franconia region of Germany. This yeast exhibits a short lag time and has flavor profile characteristics that complement dark, roasted malts. The dark malt complementing nature of this yeast makes it a perfect fit for any big, malt driven dark lagers.
We recommend a brief diacetyl rest at ~ 60-65 ºF (2-3 days) at the end of primary fermentation. An extended lagering phase at 33-35 ºF will encourage the yeast to settle and create a clean profile.","Big, malt driven dark lagers",
WY4007,Malo-lactic Blend (Leuconostoc oenos),Malo-Lactic,Wyeast,55,90,,,,,Our blend is recommended for any wine requiring malic acid reduction. This blend will cover a broad range of temperature and pH conditions.,,
WY1968,London ESB Ale,Ale,Wyeast,64,72,67,71,0,9,"A very good cask conditioned ale strain, this extremely flocculant yeast produces distinctly malty beers. Attenuation levels are typically less than most other yeast strains which results in a slightly sweeter finish. Ales produced with this strain tend to be fruity, increasingly so with higher fermentation temperatures of 70-74°F (21-23° C). A thorough diacetyl rest is recommended after fermentation is complete. Bright beers are easily achieved within days without any filtration.  Brewery source: Fullers","English Barleywine, English IPA, Extra Special/Strong Bitter (English Pale Ale), Fruit Beer, Mild, Old Ale, Southern English Brown, Special/Best/Premium Bitter, Spice, Herb, or Vegetable Beer, Standard/Ordinary Bitter, Wood-Aged Beer",WLP002
WY1084,Irish Ale,Ale,Wyeast,62,72,71,75,Medium,12,"This versatile yeast ferments extremely well in dark worts. It is a good choice for most high gravity beers. Beers fermented in the lower temperature range produce a dry, crisp profile with subtle fruitiness. Fruit and complex esters will increase when fermentation temperatures are above 64°F (18°C).  It produces a slight hint of diacetyl, balanced by a light fruitiness and slight dry crispness.  Brewery source: Guinesss","American Barleywine, Baltic Porter, Dry Stout, Foreign Extra Stout, Imperial IPA, Irish Red Ale, Oatmeal Stout, Other Smoked Beer, Robust Porter, Scottish Export 80/-, Scottish Heavy 70/-, Scottish Light 60/-, Spice, Herb, or Vegetable Beer, Strong Scotch Ale, Sweet Stout, Wood-Aged Beer and a very interesting pale ale.",WLP004
WY1098,British Ale,Ale,Wyeast,64,72,73,75,Medium,10,"Clean, highly flocculent, and highly attenuative yeast. This yeast is similar to WLP002 in flavor profile, but is 10% more attenuative. This eliminates the residual sweetness, and makes the yeast well suited for high gravity ales. It is also reaches terminal gravity quickly. 80% attenuation will be reached even with 10% ABV beers. If fermentation is colder than 66 diacetyl rest is recommended. Brewery source: Whitbread-dry","Blonde Ale, English Barleywine, Northern English Brown Ale, Robust Porter, Scottish Export 80/-, Scottish Heavy 70/-, Scottish Light 60/-",WLP007
WY1187,Ringwood Ale,Ale,Wyeast,64,74,68,72,Medium,10,"A top cropping yeast strain with unique fermentation and flavor characteristics. Expect distinct fruit esters with a malty, complex profile. Flocculation is high, and the beer will clear well without filtration.  A thorough diacetyl rest is recommended after fermentation is complete. Brewery Source: Pripps","American IPA, American Stout, Fruit Beer, Mild, Oatmeal Stout, Southern English Brown","WLP005,WL1742"
WY1272,American Ale II,Ale,Wyeast,60,72,72,76,Medium,10,"Ferment at warmer temperatures to accentuate hop character with an increased fruitiness. Or, ferment cool for a clean, light citrus character. It attenuates well and is reliably flocculent, producing bright beer without filtration. Expect a soft, clean profile with hints of nut, and a slightly tart finish. Brewery source: Anchor Liberty","American Amber Ale, American Brown Ale, American IPA, American Pale Ale, American Stout, Blonde Ale, Fruit Beer, Imperial IPA, Wood-Aged Beer",WLP051
WY1275,Thames Valley Ale,Ale,Wyeast,62,72,77,77,Medium-low,10,"The yeast has a light malt character, low fruitiness, low esters and is clean and well balanced. This strain produces classic British bitters with a rich, complex flavor profile. Henley of Thames","Brown Porter, Dry Stout, Düsseldorf Altbier, Extra Special/Strong Bitter (English Pale Ale), Foreign Extra Stout, Northern English Brown Ale, Robust Porter, Special/Best/Premium Bitter, Standard/Ordinary Bitter",WLP023
WY1335,British Ale II,Ale,Wyeast,63,75,73,76,Low,10,"A classic British ale profile with good flocculation and malty flavor characteristics. It will finish crisp, clean and fairly dry.","American Brown Ale, Brown Porter, Cream Ale, Dry Stout, English Barleywine, English IPA, Extra Special/Strong Bitter (English Pale Ale), Foreign Extra Stout, Irish Red Ale, Northern English Brown Ale, Special/Best/Premium Bitter, Standard/Ordinary Bitter",WLP025
WY1338,European Ale,Ale,Wyeast,62,72,67,71,High,10,"A full-bodied strain, finishing very malty with a complex flavor profile. This strain’s characteristics are very desirable in English style brown ales and porters. It produces a dense, rocky head during fermentation, and can be a slow to start and to attenuate. This yeast may continue to produce CO2 for an extended period after packaging or collection.","Baltic Porter, Düsseldorf Altbier, Northern German Altbier, Southern English Brown, Sweet Stout",WLP011
WY1728,Scottish Ale,Ale,Wyeast,55,75,69,73,High,12,"Our Scottish ale strain is ideally suited for the strong, malty ales of Scotland. This strain is very versatile, and is often used as a “House” strain as it ferments neutral and clean.Higher fermentation temperatures will result in an increased ester profile. Temps under 60 stress this yeast into producing smoky esters Brewery source: McEwans","American Barleywine, Baltic Porter, Braggot, Christmas/Winter Specialty Spiced Beer, Foreign Extra Stout, Imperial IPA, Old Ale, Other Smoked Beer, Russian Imperial Stout, Scottish Export 80/-, Scottish Heavy 70/-, Scottish Light 60/-, Strong Scotch Ale, Wood-Aged Beer",WLP028
WY3068,Weihenstephan Weizen,Ale,Wyeast,64,75,73,77,Medium,10,"Weihenstephan 165, Köln (Päffgen?) Brewery source: Weihenstephan 68",0,WLP300
WY3333-PC,German Wheat,Ale,Wyeast,63,75,70,76,High,10,"Large clove and phenolic aroma and flavor, with minimal banana. Refreshing citrus and apricot notes. Crisp, drinkable hefeweizen. Less flocculent than WLP300, and sulfur production is higher. Brewery source: Weihenstephan 66?","Weissbier, Wezenbock, Dunkles Weissbier, Historical Beers: Roggenbier, & Sahti ",WLP380
WY3638,Bavarian Wheat,Ale,Wyeast,64,75,70,76,Low,10,"This strain produces a classic German-style wheat beer, with moderately high, spicy, phenolic overtones reminiscent of cloves. Former Yeast Lab W51 yeast strain, acquired from Dan McConnell. 
Brewery source: Weihenstephan 175 ","Weissbier, Weizenbock, Dunkles Weissbier, Historical Beer: Roggenbier",WLP351
WY3787,Trappist High Gravity,Ale,Wyeast,64,78,74,78,Medium,11,"Used to produce Trappist style beers. Similar to WLP500, but is less fruity and more alcohol tolerant (up to 15% ABV). More ester development via underpitching and/or higher fermentation temperature. 80+ Fermentation temperature results in aggressive, highly attenuative yeast character. Brewery source: Westmalle
",0,WLP530
