Grain,Origin,Type,Manufacturer ,Must Mash?,"Color Low 
(Lovibond)","Lovibond_High 
(Lovibond)",SRM_Low,SRM_High,Power,Protein Total,Extract FG Min,Potential,% Moisture,Usage Max,Description,Source
Munich Type 1 ,Germany,Color,Weyermann,Yes,5.1,7,6.14846,8.7222,,10.8,82.8,1.03826188,4.5,100,"Weyermann® Munich Type 1 malt ('Light Munich') is a kilned lager-style malt made from quality, two-row, German spring barley. Usually used as a specialty malt, it has a high enzyme content despite its color, and can constitute up to 100% of the grist. It produces robust malt characteristics, including full body, amber color, and smooth mouthfeel. The flavor is strongly malty and the rich aroma has notes of light caramel, honey, and bread. Munich malt is typically used in dark lagers and ales, especially Munich-style lagers, various bock styles, and German festival beers like Märzenbier, Festbier, and Oktoberfest.",https://bsgcraftbrewing.com/weyermann-munich-lt-type1-25kg
Munich Type 2 ,Germany,Color,Weyermann,Yes,9.9,9.9,12.65054,12.65054,5,10.6,82.2,1.03798462,4,100,"Weyermann® Munich Type 2 malt ('Dark Munich') is a kilned lager-style malt made from quality, two-row, German spring barley. Usually used as a specialty malt, it has a high enzyme content despite its color, and can constitute up to 100% of the grist. It produces robust malt characteristics, including full body, deep amber color, and smooth mouthfeel. The flavor is strongly malty and the rich aroma has notes of caramel, honey, and bread. Munich malt is typically used in dark lagers and ales, especially Munich-style lagers, various bock styles, and German festival beers like Märzenbier, Festbier, and Oktoberfest.",https://bsgcraftbrewing.com/weyermann-munich-lt-type1-25kg
CARAAMBER®,Germany,Crystal,Weyermann,No,23,31,30.3958,41.2326,0,,77,1.0355817,4.5,20,"Weyermann® CARAAMBER® is a drum-roasted caramel malt made from two-row, German barley that can be used to improve flavor stability, fullness and enhance color.  Full red color is achieved as well as better mash efficiency when using CARAAMBER®, while flavors of toffee, caramel and bread are imparted. Suitable for Bocks, Dunkels, Brown Ales, Red Lagers, and Amber style beers.",https://bsgcraftbrewing.com/craftbrewing-malt-weyermann-caramel-line
CARAAROMA®,Germany,Crystal,Weyermann,No,131,169,176.6926,228.1674,,7,74,1.0341954,7.8,15,"Weyermann® CARAAROMA® is a drum-roasted caramel malt made from two-row, German barley. CARAROMA® delivers notes of roasted nuts, dark caramel, died fruit while imparting deep amber and red hues to the finished beer.  CARAAROMA® can also be used to add body to the beer.  Great for Amber Ales and Lagers,  Stouts, Porters, Bocks and Dunkel Lager.",https://bsgcraftbrewing.com/weyermann-cara-aroma-25-kg
CARABELGE®,Germany,Crystal,Weyermann,No,13.7,1.37,17.79802,1.095802,,,77.7,1.03590517,9,30,"Weyermann® CARABELGE® is a drum-roasted caramel malt made from two-row, German barley that can be used to deliver mild and restrained notes of caramel flavor and aroma, while also imparting notes of died fruits and nuts.  With a lower Lovibond, it imparts a honey-colored hue to the finished beer. Suitable for Belgian style beers like Blondes, Bruins, and Ambers, as well as Triples and Dubbels.",https://bsgcraftbrewing.com/weyermann-cara-belge-25-kg
CARABOHEMIAN®,Germany,Crystal,Weyermann,No,64,83,85.9344,111.6718,,,74,1.0341954,9,100,"Weyermann® CARABOHEMIAN® is a drum-roasted caramel malt made from two-row German barley which delivers intensified caramel aromas, along with notes of bread, caramel and toffee flavors.  CARABOHEMIAN® malt also contributes to the fuller bodied beer.  Perfect for all Bohemian style lagers and specialty beers, as well as for styles such as Porters, Stouts and other large styles such as Octoberfest and Bock beers where a fuller body and mouthfeel is desired.",https://bsgcraftbrewing.com/weyermann-cara-belge-25-kg
CARAFOAM®,Germany,Crystal,Weyermann,No,1.5,2,1.2719,1.9492,150 WK,,78,1.0360438,6.5,40," German dextrin malt with lovely, delicate malt character. Improves head retention and body. Recommended for pilsners and pale lagers.",http://www.northernbrewer.com/weyermann-carafoam-malt
CARAHELL®,Germany,Crystal,Weyermann,No,8.1,11.8,10.21226,15.22428,,,74,1.0341954,7.5,30,"Imparts a full, round malt flavor and gold color. Very versatile - use up to 15% in pale ale, Oktoberfest, Maibock, and hefeweizen.",http://www.northernbrewer.com/weyermann-carahell-malt
CARAMUNICH® Type 1,Germany,Crystal,Weyermann,No,31,38,41.2326,50.7148,0,,74,1.0341954,6.5,10,"German crystal malt. Adds maltiness, flavor, color and aroma.",
CARAMUNICH® Type 2,Germany,Crystal,Weyermann,No,42,49,56.1332,65.6154,0,,74,1.0341954,6.5,10,"German crystal malt. Adds maltiness, flavor, color and aroma.",
CARAMUNICH® Type 3,Germany,Crystal,Weyermann,No,53,60.5,71.0338,81.1933,0,,74,1.0341954,6.5,10,"German crystal malt. Adds maltiness, flavor, color and aroma.",
CARARED®,Germany,Crystal,Weyermann,No,16,23,20.9136,30.3958,,,74,1.0341954,7.5,25,"Provides fuller body and imparts a deep, saturated red color, particularly to red ales and lagers, Scottish ales, bocks and altbiers.",http://www.northernbrewer.com/weyermann-carared-malt
CARARYE®,Germany,Crystal,Weyermann,No,57,76,76.4522,102.1896,,,74,1.0341954,6.5,100,"Produced from quality rye. Carefully caramelized brown kernels lend a slightly aromatic, biscuit-like, smooth rye component and dark-brown color to finished beer. Flavor: typical rye aroma; intense aroma of bread, coffee, dark chocolate, and dried fruits. Beer style: Specialty Beer; Rye Lagers; Multigrain Beers; Ale; Rye Ale;",http://www.cryermalt.co.nz/shop/brewing-malts/weyermann/cararye/
CARAWHEAT®,Germany,Crystal,Weyermann,No,42,53,56.1332,71.0338,,,74,1.0341954,4,15,malted wheat that has been steeped and kilned to create a caramel malt. Emphasizes wheat aroma and flavor and adds color; use up to 15% for dunkelweizen and hefeweizen.,http://www.northernbrewer.com/weyermann-carawheat-malt
Weyermann® Abbey Malt®,Germany,Crystal,Weyermann,No,16,19,20.9136,24.9774,,,75,1.0346575,4.5,50,"Weyermann® Abbey Malt® is a highly friable base malt with pronounced malty aromas, and assertive flavors such as honey, nuts as well as hints of chocolate.  Suitable for traditional Abbey ales, as well as Trappist beers.  Also well suited for a full range for Belgian beer styles, including fruit beers.",https://bsgcraftbrewing.com/weyermann-abbey-malt-25-kg
"Barley, Roasted",Germany,Roasted,Weyermann,No,375,450,507.215,608.81,,,73,1.0337333,6,5,"Roasted, unmalted barley grain has a full, roasted aroma. Excellent for stouts and other dark beers.",https://www.bellsbeer.com/store/products/Weyermann%C2%AE-Roasted-Barley-Malt-%252d-1-lb.html
Special W®,Germany,Roasted,Weyermann,No,106,121,142.8276,163.1466,,,73,1.0337333,6.5,15,"Weyermann® Special W® imparts strong raisin, dark fruit and bready flavor, and can be used in wide range of Belgian beer styles, as well as other styles looking to add hints of dark fruit.",https://bsgcraftbrewing.com/weyermann-special-w
CARAFA® Special Type 2,Germany,Roasted ,Weyermann,No,413,450,558.6898,608.81,0,,70,1.032347,3.5,5,"De-husked chocolate malt for a smoother flavor. Adds body, color, aroma. Dark beers, Alts, Bockbiers",
CARAFA® Special Type 3,Germany,Roasted ,Weyermann,No,488,563,660.2848,761.8798,0,,70,1.032347,3.5,5,"De-husked chocolate malt for a smoother flavor. Adds body, color, aroma. Dark beers, Alts, Bockbiers",
CARAFA® Special Type I ,Germany,Roasted ,Weyermann,No,300,375,405.62,507.215,0,,70,1.032347,3.5,5,"Chocolate malt. Dark beers, Alts, Bockbiers. Adds color and aroma. De-husked, smoother tasting",
CARAFA® Type 1,Germany,Roasted ,Weyermann,No,300,375,405.62,507.215,0,,70,1.032347,3.5,5,"Chocolate malt. Dark beers, Alts, Bockbiers. Adds color and aroma.",
CARAFA® Type 2,Germany,Roasted ,Weyermann,No,431,450,583.0726,608.81,,,65,1.0300365,3.8,5,"Produced from quality spring barley. Carefully roasted to add coffee-brown color, espresso-like bouquet, dark-beer aroma, and body to finished beer. Produces opaque beer with mild, but noticeable roasted aftertaste. Flavor: notes of coffee, cocoa, dark chocolate, intense roastiness.",http://www.cryermalt.co.nz/shop/brewing-malts/weyermann/carafa-type-2/
CARAFA® Type 3,Germany,Roasted ,Weyermann,No,488,563,660.2848,761.8798,,,65,1.0300365,3.8,5,"Produced from quality spring barley. Carefully roasted to add coffee-brown color, espresso-like bouquet, dark-beer aroma, and body to finished beer. Produces opaque beer with mild, but noticeable roasted aftertaste. Flavor: notes of coffee, cocoa, dark chocolate, intense roastiness.",http://www.cryermalt.co.nz/shop/brewing-malts/weyermann/carafa-type-3/
Acidulated Malt,Germany,Specialty,Weyermann,Yes,1.7,2.8,1.54282,3.03288,0,,,1,10,5,"Used in Germany to lower PH levels without resorting to chemicals. Lowers mash pH levels, lightens color, improves flavor stability.",
Chocolate Rye Malt,Germany,Specialty,Weyermann,No,188,300,253.9048,405.62,0,,65,1.0300365,4,5,Primarily used for color and aroma in top-fermented specialty beers.,
Chocolate Wheat Malt,Germany,Specialty,Weyermann,No,338,451,457.0948,610.1646,0,,65,1.0300365,4.5,5,Intensifies aroma and color in top-fermented beers such as dark wheat beers.,
Smoked Malt,Germany,Specialty,Weyermann,Yes,1.7,2.8,1.54282,3.03288,0,,81,1.0374301,5,100,"Malt that has been smoked over an open fire. Creates a distinctive smoked flavor and aroma. UAlso known as Rauchmalt, Weyermann's famous beechwood-smoked malt can make up to 100% of the grist for classic Bamberger Rauchbier. Use smaller percentages to add smoke character to bock, helles, hefeweizen, porters, Scottish ales, brown ales, etc.",http://www.northernbrewer.com/weyermann-smoked-malt
"Wheat Malt, Pale",Germany,Specialty,Weyermann,Yes,1.7,2.4,1.54282,2.49104,>300WK,,86,1.0397406,5.5,80,"Use up to 80% for wheat beers, or in smaller proprtions to add body and head retention to Kolsch, altbier, and other ales. Protein rest recommended.",http://www.northernbrewer.com/weyermann-pale-wheat-malt
Rye Malt,Germany,Specialty/Adjunct,Weyermann,Yes,2,4.3,1.9492,5.06478,,10,83,1.0383543,6,25,"Contributes a spicy rye flavor; use up to 50% for rye beers, also makes an interesting addition to smoked beers and wheat beers.",http://www.northernbrewer.com/weyermann-german-rye-malt
"Spelt Malt, Chocolate",Germany,Specialty/Adjunct,Weyermann,Yes,170,376,229.522,508.5696,,,65,1.0300365,4,5,"Weyermann® Chocolate Spelt Malt is produced from quality spelt. Spelt wheat, also known as dinkel, is an old wheat variety that is intended for specialty beers. This product is processed slowly and thoroughly by our drum process. It is evenly roasted, coffee brown, aromatic kernels. It adds color and complex flavors to very dark brews, and has a flavor with intense roast aroma and intense notes of coffee and chocolate. It is used for spelt beers, specialty beers, and top-fermented specialty beers.",https://www.ulprospector.com/en/na/Food/Detail/11152/335775/Weyermann-Chocolate-Spelt-Malt
"Wheat Malt, Dark",Germany,Specialty/Adjunct,Weyermann,Yes,6.2,8.1,7.63852,10.21226,,,82,1.0378922,5,50,"Weyermann® Dark Wheat is a gently kilned malt made from high-quality German wheat. It contributes a mild golden color to wort and a robust malty-sweet flavor with notes of bread, biscuit, toffee, and caramel. Wheat malts are high in protein, which helps produce fuller-bodied beers. Wheat malt can also improve head formation and retention, depending upon the other grist constituents. In top-fermented beers, Weyermann® Dark Wheat malt performs especially well, adding creaminess, body, and complex wheat flavors. Weyermann® Dark Wheat malt has a somewhat 'drier', more complex character than pale wheat malts. It's the signature malt for Bavarian Dunkelweizen, and perfect for Weizenbocks, Kölsch, and Altbiers.",https://bsgcraftbrewing.com/weyermann-dark-wheat-25-kg
Two-Row Okefenokee Pale Malt,United States,Base,Two Track ,Yes,,,2.7,2.7,112.2,12,81.3,1.03756873,4.1,100,Fully Modified Plump 2-Row Kernels with a full flavor profile and color of 2.3-2.8°L. Our Okefenokee Pale is a sweet flavorful base malt perfect for a 100% grain bill. It gives a maltier characteristic with a slight biscuit-like flavor and a touch of nuttiness. ,
Badlands Sunset Pilsner,United States,Base,Two Track ,Yes,,,1.9,1.9,132.3,11.9,81.9,1.03784599,5.2,100,"Our Badlands Sunset�is similar to a Pilsner Malt lending a lighter flavor for your beers but a color of 1.9 �SRM. The malt is produced from high quality North Dakota grown barley and is fully modified and lightly kilned to yield a light flavor to your beer. Badlands Sunset contributes a delicate yet distinctly malty flavor and aroma with notes of honey, making it perfect for all types of beers. This malt is fully capable to be used in 100% of the grain bill.",
Pronghorn - Brewski Pale,United States,Base,Two Track ,Yes,,,1.8,1.8,90.5,11.55,80,1.036968,3.25,100,,
Dakota,United States,Base,Two Track ,Yes,,,5.26,5.26,103,11.7,80.7,1.03729147,3.2,100,"Dakota is a mix between a Vienna and Munich malt that offers a powerful clean malty-sweet flavor with subtle reminders of Honey, Almonds and Hazelnuts. Dakota is highly modified, and kilned at high temps which provides the one of a kind flavor. This malt has a color of 5.2°SRM giving a rich golden touch to the wort. The clean crisp taste and lighter color will add a true uniqueness to any beer and can be used up to 100% of the grain bill.",
Denoff,United States,Speciality,Two Track ,Yes,,,11.4,11.4,43,11.3,79,1.0365059,4.2,50,"Denhoff Malt is Two Track Malting’s first specialty grain that will make your beer truly unique and will fill the air with a nutty, roasted, whole grain smell.  When chewing the whole grain you will notice a sweet toastiness, slight caramel notes and a dark chocolate flavored finish.  Denhoff has a color of 11.4 SRM, giving you rich golden colored wort.  The aroma from the wort is bready, slightly caramel and has notes of roastiness and biscuit.  When tasting the wort you get a pleasant toasty caramel flavor that is bready and has notes of honey.  Denhoff can be used for up to 50% of the grain bill.",
Bakken,United States,Speciality,Two Track ,Yes,,,112,112,61,12.4,77.9,1.03599759,3.1,,"Introducing Bakken, our darkest malt to date.  With a color of 104-112 this malt completes our lineup.  In the caramel/crystal category, Bakken allows you to use this specialty malt in multiple recipes.  Bakken delivers a sweet malt flavor at first then transitions to a roasted malt and coffee taste.  Bakken has hints of hazelnut throughout and finishes with the bitterness and flavor of dark chocolate.",
Astro White Wheat,Untited States,Speciality,Two Track ,Yes,,,2.34,2.34,11.4,15.9,78.8,1.03641348,4.7,50,Astro White Wheat has a clean sweet malt and sweet bread dough aroma.  The flavor embodies sweet wheat and soft bread dough on the tongue with a full-bodied finish.,
Rye,United States,Speciality,Two Track ,Yes,,,2.82,2.82,94,10.8,87.4,1.04038754,3.8,25,,
